COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
"10015","花蓮縣","10015080","豐濱鄉",1714,4115,2309,1806,"114Y06M"
"10015","花蓮縣","10015090","瑞穗鄉",4811,10495,5605,4890,"114Y06M"
"10015","花蓮縣","10015100","富里鄉",4053,9457,5030,4427,"114Y06M"
"10015","花蓮縣","10015110","秀林鄉",5345,17097,8676,8421,"114Y06M"
"10015","花蓮縣","10015120","萬榮鄉",2169,6043,3150,2893,"114Y06M"
"10015","花蓮縣","10015130","卓溪鄉",1754,5891,3178,2713,"114Y06M"
"10016","澎湖縣","10016010","馬公市",27412,63383,32114,31269,"114Y06M"
"10016","澎湖縣","10016020","湖西鄉",6714,16049,8364,7685,"114Y06M"
"10016","澎湖縣","10016030","白沙鄉",3756,9972,5112,4860,"114Y06M"
"10016","澎湖縣","10016040","西嶼鄉",3175,8025,4100,3925,"114Y06M"
"10016","澎湖縣","10016050","望安鄉",2018,5295,2832,2463,"114Y06M"
"10016","澎湖縣","10016060","七美鄉",1539,3870,1968,1902,"114Y06M"
"10017","基隆市","10017010","中正區",25649,51499,25884,25615,"114Y06M"
"10017","基隆市","10017020","七堵區",23326,52429,26121,26308,"114Y06M"
"10017","基隆市","10017030","暖暖區",17309,38368,19085,19283,"114Y06M"
"10017","基隆市","10017040","仁愛區",19274,40022,19625,20397,"114Y06M"
"10017","基隆市","10017050","中山區",21309,45759,23052,22707,"114Y06M"
"10017","基隆市","10017060","安樂區",36593,80239,39370,40869,"114Y06M"
"10017","基隆市","10017070","信義區",24421,52773,25869,26904,"114Y06M"
"10018","新竹市","10018010","東區",92298,222740,109948,112792,"114Y06M"
"10018","新竹市","10018020","北區",65299,153788,74968,78820,"114Y06M"
"10018","新竹市","10018030","香山區",31294,79301,40111,39190,"114Y06M"
"10020","嘉義市","10020010","東區",48770,116677,55258,61419,"114Y06M"
"10020","嘉義市","10020020","西區",59747,144501,69728,74773,"114Y06M"
"09020","金門縣","09020010","金城鎮",13964,41273,20498,20775,"114Y06M"
"09020","金門縣","09020020","金沙鎮",6981,20056,9877,10179,"114Y06M"
"09020","金門縣","09020030","金湖鎮",10549,30547,15227,15320,"114Y06M"
"09020","金門縣","09020040","金寧鄉",11644,35171,17557,17614,"114Y06M"
"09020","金門縣","09020050","烈嶼鄉",3451,12151,5996,6155,"114Y06M"
"09020","金門縣","09020060","烏坵鄉",127,600,311,289,"114Y06M"
"09007","連江縣","09007010","南竿鄉",2312,7622,4300,3322,"114Y06M"
"09007","連江縣","09007020","北竿鄉",958,2943,1688,1255,"114Y06M"
"09007","連江縣","09007030","莒光鄉",367,1533,971,562,"114Y06M"
"09007","連江縣","09007040","東引鄉",373,1507,947,560,"114Y06M"
